,Title,Price,Rating,Seller,URLs
29,Intel Core i5-12600KF - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Desktop Processor - BX8071512600KF,$228.99 ,4.7,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i5-12600kf-core-i5-12th-gen/p/N82E16819118349?Item=N82E16819118349
30,AMD Ryzen Threadripper PRO 5955WX - Chagall PRO (Zen 3) 16-Core 4.0 GHz Socket sWRX8 280W Desktop Processor - 100-100000447WOF,"$1,299.99 ",,,https://www.newegg.com/amd-ryzen-threadripper-pro-5955wx/p/N82E16819113776?Item=N82E16819113776
31,Intel Core i5-13600KF - Core i5 13th Gen Raptor Lake 14-Core (6P+8E) 3.5 GHz LGA 1700 125W Desktop Processor - BX8071513600KF,$308.78 ,4.9,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i5-13600kf-core-i5-13th-gen/p/N82E16819118417?Item=N82E16819118417
32,AMD Ryzen 9 7950X - 16-Core 4.5 GHz - Socket AM5 - 170W Desktop Processor (100-100000514WOF),$573.98 ,4.9,,https://www.newegg.com/amd-ryzen-9-7950x-ryzen-9-7000-series/p/N82E16819113771?Item=N82E16819113771
33,Intel Core i5-12400F - Core i5 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 65W Desktop Processor - BX8071512400F,$172.99 ,4.9,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i5-12400f-core-i5-12th-gen/p/N82E16819118360?Item=N82E16819118360
34,AMD Ryzen Threadripper PRO 5975WX - Ryzen Threadripper PRO Chagall PRO (Zen 3) 32-Core 3.6 GHz Socket sWRX8 280W Desktop Processor - 100-100000445WOF,"$3,299.00 ",,Sold & Shipped by Newegg,https://www.newegg.com/amd-ryzen-threadripper-pro-5975wx/p/N82E16819113764?Item=N82E16819113764
35,Intel Core i9-13900KF - Core i9 13th Gen Raptor Lake 24-Core (8P+16E) P-core Base Frequency: 3.0 GHz E-core Base Frequency: 2.2 GHz LGA 1700 125W Desktop Processor - BX8071513900KF,$574.00 ,4.9,,https://www.newegg.com/intel-core-i9-13900k-core-i9-13th-gen/p/N82E16819118413?Item=N82E16819118413
36,Open Box: AMD Ryzen 5 5600G - Ryzen 5 5000 G-Series Cezanne (Zen 3) 6-Core 3.9 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-000000252,$339.99 –,,Sold & Shipped by Newegg,https://www.newegg.com/amd-ryzen-5-5600g-ryzen-5-5000-g-series/p/N82E16819113684R?Item=N82E16819113684R
37,Intel Core i9-12900KF - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Desktop Processor - BX8071512900KF,$414.97 ,4.8,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i9-12900kf-core-i9-12th-gen/p/N82E16819118341?Item=N82E16819118341
38,Open Box: AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022 Desktop Processor – OEM,$230.99 –,,Sold & Shipped by Newegg,https://www.newegg.com/amd-ryzen-5-3600x-ryzen-5-3rd-gen/p/N82E16819113575R?Item=N82E16819113575R
39,Intel Core i7-12700F - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 2.1 GHz LGA 1700 65W Desktop Processor - BX8071512700F,$299.80 ,4.8,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i7-12700f-core-i7-12th-gen/p/N82E16819118359?Item=N82E16819118359
40,Open Box: AMD EPYC 7313P Milan 3.0 GHz Socket SP3 155W 100-000000339 Server Processor,$974.99 –,,,https://www.newegg.com/amd-epyc-7313p-socket-sp3/p/N82E16819113696R?Item=N82E16819113696R
41,Intel Core i9-10900K - Core i9 10th Gen Comet Lake 10-Core 3.7 GHz LGA 1200 125W Intel UHD Graphics 630 Desktop Processor - BX8070110900K,$339.99 ,4.8,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i9-10900k-core-i9-10th-gen/p/N82E16819118122?Item=N82E16819118122
